issue_date,valid_date,reason,source_url
2020-01-02,2020-01-17,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.01.02.tif
2020-01-14,2020-01-29,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.01.14.tif
2020-01-26,2020-02-10,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.01.26.tif
2020-02-07,2020-02-22,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.02.07.tif
2020-02-19,2020-03-05,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.02.19.tif
2020-03-02,2020-03-17,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.03.02.tif
2020-03-14,2020-03-29,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.03.14.tif
2020-03-26,2020-04-10,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.03.26.tif
2020-04-07,2020-04-22,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.04.07.tif
2020-04-19,2020-05-04,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.04.19.tif
2020-05-01,2020-05-16,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.05.01.tif
2020-05-13,2020-05-28,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.05.13.tif
2020-05-25,2020-06-09,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.05.25.tif
2020-06-06,2020-06-21,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.06.06.tif
2020-06-18,2020-07-03,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.06.18.tif
2020-06-30,2020-07-15,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.06.30.tif
2020-07-12,2020-07-27,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.07.12.tif
2020-07-24,2020-08-08,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.07.24.tif
2020-08-05,2020-08-20,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.08.05.tif
2020-08-17,2020-09-01,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.08.17.tif
2020-08-29,2020-09-13,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.08.29.tif
2020-09-10,2020-09-25,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.09.10.tif
2020-09-22,2020-10-07,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.09.22.tif
2020-10-04,2020-10-19,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.10.04.tif
2020-10-16,2020-10-31,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.10.16.tif
2020-10-28,2020-11-12,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.10.28.tif
2020-11-09,2020-11-24,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.11.09.tif
2020-11-21,2020-12-06,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.11.21.tif
2020-12-03,2020-12-18,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.12.03.tif
2020-12-15,2020-12-30,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.12.15.tif
2020-12-27,2021-01-11,http_error,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/15_day/global/data/2020/c3g_2020.12.27.tif
