0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
-1.455141994,-0.578054407,0.125460354,0.362376558,2.733070893,0.811907551,1.640268826,1.332473394,-0.46455101,-2.25502947,-2.070630906,0.696503533,1.794414011,0.935544375,1.576986731,1.326312086,2.171647483,0.439912617,-0.576492597,0.867783031,0.528044189,-1.860218096,2.055012604,-1.687731173,-1.262184978,-0.767581194,-1.617333292,-0.363505317,0.965374928,0.518540471,-0.112963972,-1.989805475,0.6152437,-0.380367901,-1.171257099,-5.051862064,-0.082930252,0.022678533,1.014544211,-0.882574932,-0.707834738,0.731470423,-1.540375369,-0.590520782,1.137696208,-1.37365984,2.787302805,-3.263421559,-2.400937906,0.121498523,0.227872533,-1.27850997,-0.056167791,-0.115288814,-7.827347439,-3.148101025,-1.441946476,-0.52992901,0.77421713,3.084469963,-3.611740399,-0.825983797,0.186915175,0.523080342,-2.344579303,-0.977420249,-0.015271275,0.12787983,0.692224102,-0.154640412,-3.218908277,-2.520586725,-0.484995857,1.411308123,2.29307196,0.84877098,-2.684955569,-0.087215147,-0.398655111,0.136326048,-0.304280565,-2.471301192,-0.761688532,-0.055814271,0.37904864,1.001781988,0.509775469,-3.672563798,1.819073826,0.917395176,2.370615949,-1.318341002,2.567289988,-0.89892111,-1.028371459,5.813428653,-1.345565579,1.18849366,-0.526331296,0.021969376,-0.485580149,-0.882031524,-0.325252171,0.102272449,-0.74656305,0.96669679,-3.417776368,-1.54749665,0.350615733,1.699879994,0.271722336,-0.307982601,-7.585333024,-0.704028059,2.053206555,2.086192455,0.522718328,0.49910112,-1.686769971,1.266627994,-5.243414307,-1.884656259,0.915429996,-1.075255207,-1.214242034,-2.85519437,0.546117037,-0.941209919,1.06281172,0.051591856,0.220893166,-0.148760874,-1.825361464,-2.792624262,-1.572124191,-0.39382332,0.552422222,1.817079763,1.063754759,-0.341992432,-0.576834677,1.490786563,0.855937178,-0.395352931,0.213446331,-3.77189157,-2.097103685,-3.60477588,1.797375225,0.451341009,-1.268217436,-1.223771611,2.011595518,-3.93070784,-3.578516929,0.43818012,-1.091641532,2.61283987,-0.476763019,-2.072481255,0.981206279,-0.577186598,1.033270862,-0.002814565,1.340023854,0.298305146,-1.056338212,-0.300190697,-1.536017672,-0.510345437,0.864818111,-0.302001066,0.130219895,-0.677255317,-4.710426451,-1.182966208,0.618026961,-0.039771674,-1.73966317,-2.726670093,-1.307582036,-4.771110464,1.936613117,1.832290422,-1.772038241,1.803037306,0.222491364,-0.735741029,-2.305828142,0.885563243,-0.916050764,0.566813983,1.224787452,-1.722384373,0.083854462,0.380666133,1.273182955,0.639457459,0.993196055,-0.703647104
-2.583,-0.903,0.286,0.68,5.084999999,1.574,3.072,2.594,-0.798,-4.177,-3.733999999,1.318,3.338,1.709,2.987,2.372,4.141,0.946,-0.979,1.629,0.97,-3.512,3.83,-2.958999999,-2.131999999,-1.239,-2.945,-0.669,1.868,0.999,-0.256,-3.693999999,1.279,-0.531,-2.195,-9.311999999,-0.202,0.036,1.887,-1.629,-1.288,1.406,-3.024,-1.215,1.959,-2.383999999,4.830999999,-5.842999999,-4.355,0.222,0.345,-2.27,-0.099,-0.243,-14.586,-6.068,-2.852,-1.29,1.395,5.413999999,-6.530999999,-1.631,0.325,0.993,-4.443,-1.731,-0.096,0.389,1.175,-0.217,-6.18,-5.011,-1.205,2.646,3.664999999,1.535,-4.815999999,-0.199,-0.855,0.223,-0.586,-4.647,-1.303,-0.192,0.788,1.718,0.776,-7.155,3.288,1.124,4.005999999,-2.379,4.209999999,-1.654,-2.173,10.836,-2.31,2.196999999,-1.134,0.027,-0.954,-1.746,-0.705,0.094,-1.412,1.764,-6.367,-2.814,0.545,3.089,0.553,-0.639,-14.218,-1.324,3.325999999,3.505999999,0.889,0.952,-3.375,2.262,-9.652999999,-3.651,1.757,-1.878,-2.027,-4.990999999,0.925999999,-1.759999999,1.876999998,0.004999999,0.299999999,-0.303,-3.413999999,-5.178999999,-2.924,-0.843,0.989,3.289999999,1.978,-1.001,-1.254,2.672,1.423,-0.838,0.224,-7.184,-3.956,-6.954,2.866,0.556,-2.525,-2.227,3.138,-7.288999999,-6.405999999,0.721,-1.905,5.037,-0.625,-3.586,1.754999998,-1.088,1.851999999,-0.127000001,2.404999998,0.498,-2.025999999,-0.591,-2.883999999,-1.097,1.544,-0.624,0.165,-1.44,-8.955,-2.356,0.748,-0.295,-3.451,-5.201,-2.44,-8.931,3.063999999,2.772999999,-3.395,2.834999999,0.174,-1.463,-4.267,1.445,-1.652,1.334,2.504,-2.880999999,0.054999999,0.694,2.263999999,1.114999999,1.767999998,-1.366
-3.066456937,-0.75766908,0.499717991,0.909747814,6.643387559,2.222710133,4.060206253,3.690315187,-0.892744536,-5.444935758,-4.619475735,1.773509157,4.366140495,2.15973719,4.005837306,2.859060599,5.669409908,1.551838233,-1.056483051,2.172071144,1.245071928,-4.72040473,5.055434885,-3.428483685,-2.258356673,-1.163344467,-3.68243257,-0.859014396,2.628118382,1.405628863,-0.453050264,-4.823284161,1.996971759,-0.267699345,-2.914837787,-11.98883524,-0.378667606,0.03567091,2.454596947,-2.112203931,-1.639585214,1.9381248,-4.333330104,-1.865167367,2.185022948,-2.734778401,5.47712396,-7.043813149,-5.392187696,0.283889198,0.262751131,-2.719621842,-0.122785903,-0.393287573,-19.26064949,-8.452170462,-4.141793522,-2.396273034,1.730994266,6.307255984,-8.106873786,-2.370152665,0.37367273,1.346234886,-6.037874638,-2.063894856,-0.292634389,0.870731409,1.26348868,-0.121176745,-8.553357075,-7.306381582,-2.307877683,3.524513095,3.363458013,1.898018903,-5.870862187,-0.349979748,-1.398912021,0.220829461,-0.819693419,-6.227699325,-1.443232957,-0.468113605,1.22893202,1.897663046,0.608069822,-10.16532286,4.050891183,0.064831725,4.239246817,-2.945106705,4.180525457,-2.118641433,-3.483295242,14.25993961,-2.56697272,2.866984181,-1.866820213,-0.001818722,-1.388277217,-2.556405118,-1.172215359,-0.110342777,-1.908219651,2.215761257,-8.366422532,-3.53202421,0.453946341,3.87874458,0.830233922,-1.010544341,-18.91099611,-1.753536117,3.16254803,3.681297711,0.958583505,1.296507423,-5.011842416,2.736411565,-12.40195282,-5.123210093,2.437565409,-2.167805304,-2.097176571,-5.768417038,1.006501772,-2.342444823,2.234635789,-0.215511412,0.125521372,-0.466378241,-4.547387856,-6.80074816,-3.857963982,-1.373165692,1.203733918,4.112359448,2.592062243,-2.184232973,-2.076486225,3.25528077,1.445981714,-1.351598304,-0.132861803,-9.801478273,-5.314641086,-9.709070948,2.63021614,0.050743538,-3.691549307,-2.814707764,2.681109539,-9.503183282,-7.831581297,0.721354458,-2.177445069,6.962629323,-0.186217934,-4.042690064,2.145261572,-1.471175729,2.272681612,-0.461821016,2.966727861,0.517005398,-2.830341035,-0.86196843,-3.874678472,-1.799405593,1.875473521,-0.96900016,0.032767282,-2.314370251,-12.25269638,-3.460763011,0.008616956,-0.92342755,-5.04777514,-7.129052175,-3.218233748,-11.86313293,2.76022347,2.122198274,-4.696379128,2.449125854,-0.358964653,-2.159659177,-5.579736788,1.409071274,-2.045577479,2.40702878,3.801020635,-3.001585048,-0.168954775,0.878011835,2.733714797,1.289347079,2.146342429,-1.945256306
-3.01,-0.235,0.743,1.079,7.595,2.767,4.686,4.605,-0.837,-6.248,-4.876,2.076,4.95,2.353,4.676,2.933,6.809,2.285,-0.9,2.554,1.377,-5.531,5.85,-3.274,-1.792,-0.658,-3.964,-0.958,3.274,1.766,-0.73,-5.469,2.694,0.318,-3.456,-13.455,-0.589,0.044,2.791,-2.408,-1.847,2.357,-5.419,-2.523,1.987,-2.585,5.114,-7.16,-5.727,0.322,0.037,-2.764,-0.158,-0.591,-22.279,-10.373,-5.267,-3.663,1.884,6.084,-8.68,-3.062,0.358,1.612,-7.25,-2.096,-0.596,1.5,1.05,0.061,-10.429,-9.395,-3.678,4.143,1.829,1.983,-6.126,-0.528,-2.018,0.155,-1.012,-7.346,-1.318,-0.868,1.665,1.655,0.123,-12.785,4.281,-1.895,3.436,-3.118,2.916,-2.35,-4.953,16.442,-2.281,3.297,-2.698,-0.077,-1.844,-3.322,-1.715,-0.466,-2.265,2.405,-9.603,-3.841,0.125,4.186,1.046,-1.452,-22.025,-1.987,1.981,2.952,0.829,1.536,-6.599,2.742,-13.913,-6.351,2.997,-2.092,-1.655,-5.58,0.879,-2.751,2.239000001,-0.586,-0.246,-0.653,-5.311,-7.816,-4.484,-1.96,1.252,4.424,2.95,-3.697,-3.004,3.341,1.019,-1.954,-0.812,-11.753,-6.219,-11.956,1.484,-0.871,-4.715,-3.149,1.02,-10.852,-8.21,0.505,-2.009,8.421,0.644,-3.723,2.250000001,-1.768,2.375,-0.965,3.133000001,0.38,-3.527,-1.134,-4.593,-2.587,1.94,-1.331,-0.227,-3.242,-14.837,-4.501,-1.358,-1.852,-6.589,-8.634,-3.703,-13.782,1.444,0.323,-5.678,1.008,-1.315,-2.909,-6.463,0.936,-2.191,3.662,5.073,-2.367,-0.533,0.942,2.795,1.222,2.207000001,-2.482
-2.604420237,0.506355185,0.982765843,1.222880703,8.225455518,3.231188987,5.081065983,5.339517395,-0.748937682,-6.853148901,-4.750341797,2.259244119,5.224515834,2.387612212,5.088513156,2.811216632,7.670440856,3.154582573,-0.639414817,2.857113471,1.410109101,-6.049480879,6.389706202,-2.779246331,-0.981396653,0.085435357,-3.997933353,-1.003946654,3.850495139,2.115339764,-1.102347191,-5.800749715,3.281353731,1.077754469,-3.972152317,-14.28439252,-0.805940313,0.083604351,3.012463817,-2.623585603,-2.018155901,2.711851524,-6.262069034,-3.181280048,1.599438798,-2.175809821,4.299178523,-6.669872395,-5.695418495,0.352061549,-0.251825839,-2.606254666,-0.234014642,-0.856343342,-24.30759891,-11.98345285,-6.202330792,-4.880698067,1.984802784,5.240915129,-8.754211683,-3.735758172,0.312402255,1.832689369,-8.252995967,-1.997258901,-0.982386865,2.178652535,0.680267179,0.244570249,-11.97297666,-11.28930532,-5.154190988,4.634828359,-0.289559336,1.884574475,-5.992996531,-0.717632926,-2.69286232,0.060903453,-1.17531563,-8.199885601,-1.110596636,-1.35662973,2.056270717,1.173567535,-0.502512919,-15.14309926,4.22983553,-4.242618887,2.135399165,-3.056162904,1.060641948,-2.441703784,-6.549878382,17.92440116,-1.698873588,3.623523542,-3.583446422,-0.207117034,-2.381462805,-4.057677779,-2.314087061,-0.906715174,-2.533909109,2.454529903,-10.37305413,-3.948326614,-0.358803345,4.193084308,1.146092991,-1.980623834,-24.14838986,-2.05377692,0.374091568,1.823869851,0.626882378,1.682116395,-8.137406104,2.388260014,-14.8103166,-7.418458191,3.491305078,-1.869574523,-1.021944646,-4.984706427,0.670187559,-3.071091635,2.046035274,-1.055664573,-0.724012605,-0.876813873,-5.846432665,-8.471392711,-4.963644694,-2.571483123,1.213826368,4.440316213,3.132829692,-5.284359777,-3.985729072,3.10233423,0.298997371,-2.651803278,-1.718637528,-13.26066273,-6.782232727,-13.85760691,-0.018558503,-1.931133421,-5.5543677,-3.444407429,-1.286348641,-11.75330163,-8.053238853,0.163841401,-1.574612637,9.520923793,1.59468534,-3.038614576,2.210428228,-2.031717823,2.285341292,-1.566505626,3.070597679,0.131914186,-4.193595796,-1.42943827,-5.168990836,-3.419445894,1.857528711,-1.701787058,-0.552834236,-4.151453175,-17.05197489,-5.489228131,-3.01231468,-2.970100771,-8.141817416,-9.899700785,-3.993234962,-15.04974345,-0.289799754,-1.992156097,-6.377775438,-0.940076624,-2.576508654,-3.793144912,-7.206550175,0.254814107,-2.217048747,4.938441655,6.276740034,-1.377405432,-0.958802053,0.91196809,2.621183441,1.008893038,2.075624953,-3.028130355
-1.966564973,1.353064065,1.189674986,1.337113656,8.619531968,3.628673316,5.264905681,5.889211642,-0.67120956,-7.329691417,-4.362347943,2.336878652,5.245350898,2.27178329,5.264176687,2.57787329,8.308897474,4.101020892,-0.318741717,3.096967595,1.366763191,-6.342711835,6.69247755,-2.091073936,0.033224346,0.94520876,-3.855679514,-1.007369524,4.361010254,2.456199763,-1.541758073,-5.921823815,3.696894461,1.910577939,-4.449987999,-14.6961148,-1.035258454,0.151694992,3.170767107,-2.789259728,-2.169767879,3.018362824,-6.897753152,-3.885762117,1.06171562,-1.622260425,3.228776114,-5.806707729,-5.43988157,0.36097057,-0.569065781,-2.325140508,-0.339601122,-1.176116232,-25.52807465,-13.38048206,-6.955008324,-6.04559933,2.047398088,3.98509475,-8.498068622,-4.399950301,0.243192225,2.011071569,-9.05443109,-1.821970573,-1.429480639,2.868141255,0.237871667,0.429567863,-13.23717361,-12.94645661,-6.655878634,5.007238167,-2.699348274,1.690389988,-5.628553791,-0.917090756,-3.418163443,-0.049513255,-1.313016888,-8.817889805,-0.879471652,-1.898897188,2.38938769,0.550410327,-1.159984095,-17.19669747,3.936077505,-6.788997856,0.544910036,-2.809410191,-1.095064768,-2.430422075,-8.192949041,18.83046795,-0.907052807,3.877963214,-4.480300825,-0.389288129,-3.007189105,-4.758689949,-2.965518333,-1.409862734,-2.736168359,2.388726475,-10.74443188,-3.927787251,-0.948668827,3.939638674,1.133142102,-2.553208743,-25.43673153,-2.02359036,-1.436038958,0.552318621,0.358885271,1.714448024,-9.570449778,1.713144713,-15.27887703,-8.32263293,3.914293404,-1.619822491,-0.315572609,-4.17947806,0.423870996,-3.303910378,1.711564209,-1.565728518,-1.249730364,-1.140680374,-6.216159934,-8.851618842,-5.35739341,-3.194627107,1.107006846,4.233552996,3.175268587,-6.851875334,-5.013641926,2.616303459,-0.653337207,-3.412070229,-2.76795847,-14.35912818,-7.079343689,-15.46088394,-1.650321308,-2.967817389,-6.190793078,-3.768832188,-4.034585206,-12.33366238,-7.498597789,-0.29804599,-0.988468207,10.34357836,2.544406623,-2.151212518,2.066874075,-2.260975329,2.054082128,-2.216510781,2.846578339,-0.207894544,-4.851457168,-1.745021412,-5.659028262,-4.287168053,1.662439043,-2.073264601,-0.9062609,-5.003307113,-18.97080896,-6.411185855,-4.845116498,-4.246627864,-9.660837757,-10.93696249,-4.101759688,-15.79025408,-2.180936029,-4.573674971,-6.804128891,-3.108003045,-4.075200102,-4.784020829,-7.861302271,-0.548308442,-2.134938805,6.157894941,7.374037584,-0.14760316,-1.411895483,0.809586963,2.277313499,0.695217956,1.808714474,-3.598466012
-1.194496857,2.203239361,1.335270933,1.407550367,8.811455072,3.970081983,5.228657253,6.247824856,-0.627614739,-7.697423955,-3.799972863,2.317368454,5.04809094,1.990882778,5.205688139,2.283639583,8.765463507,5.047700578,0.039533485,3.272361936,1.263796986,-6.46764403,6.736566644,-1.321905863,1.138935928,1.817122833,-3.574181242,-0.971872098,4.798539643,2.782961082,-2.009026532,-5.918774139,3.885028526,2.727369122,-4.834384567,-14.82014915,-1.290940973,0.239177517,3.301460083,-2.916064756,-2.295748279,3.283726728,-7.37461319,-4.695550575,0.364216865,-1.007839064,2.008302971,-4.741846536,-5.054012307,0.328401905,-0.891520772,-1.968230208,-0.453386428,-1.528819375,-26.00040502,-14.64682287,-7.540229189,-7.205209561,2.056558529,2.450836162,-7.995989763,-5.057919516,0.149641543,2.139944117,-9.620210754,-1.595464583,-1.915330541,3.544814973,-0.209207343,0.637275108,-14.24463357,-14.3093152,-8.122637983,5.235825514,-5.196682074,1.486264908,-5.125401069,-1.128000982,-4.192120702,-0.170171357,-1.426213679,-9.186012787,-0.651859832,-2.459711207,2.657580711,-0.139177014,-1.757977631,-18.85957133,3.384714131,-9.426321348,-1.211408994,-2.400248303,-3.349215061,-2.338465106,-9.789063027,19.17824627,0.048245644,4.065431928,-5.346011007,-0.617804219,-3.714306848,-5.415363099,-3.669183378,-1.963804221,-2.885359364,2.207138909,-10.72747727,-3.819639483,-1.604432521,3.429441349,1.023895587,-3.111440741,-25.9366928,-1.976119128,-3.320109062,-0.669918058,0.001518036,1.604381749,-10.82705576,0.736522247,-15.39339884,-9.038580452,4.244163674,-1.437130565,0.39758202,-3.270559163,0.163121921,-3.429542808,1.266326998,-2.055431593,-1.77233403,-1.444702106,-6.462822388,-9.000809345,-5.700452905,-3.821206861,0.933708408,3.840050447,3.100355021,-8.345213437,-6.090461327,1.935681863,-1.801664471,-4.192044259,-3.877775966,-15.03570542,-7.17559095,-16.78356842,-3.265928051,-3.84816556,-6.610668297,-4.153571443,-7.110468956,-12.64653905,-6.589483739,-0.898627669,-0.34936977,10.96261351,3.408999446,-1.159755745,1.83439819,-2.44075292,1.712546777,-2.870259833,2.50303075,-0.626495582,-5.507840094,-2.071092702,-6.101056603,-5.18829983,1.367651859,-2.437362379,-1.25455758,-5.766047135,-20.59880046,-7.245834525,-6.805032239,-5.670532667,-11.0724812,-11.71308799,-4.01971074,-16.06750229,-4.052857362,-7.267824345,-6.957966613,-5.274179925,-5.755251641,-5.826117496,-8.41842152,-1.423000914,-1.92639855,7.262229604,8.32767264,1.279174355,-1.86879049,0.655419054,1.801305728,0.313443833,1.445453332,-4.198565362
-0.386,2.955,1.391,1.42,8.835,4.266,4.963,6.409,-0.642,-7.976,-3.151,2.209,4.668,1.53,4.915,1.979,9.081,5.918,0.413,3.382,1.118,-6.481,6.5,-0.584,2.223,2.597,-3.19,-0.901,5.156,3.09,-2.465,-5.878,3.79,3.439,-5.07,-14.786,-1.587,0.337,3.44,-3.015,-2.39,3.515,-7.741,-5.67,-0.503,-0.416,0.743,-3.646,-4.631,0.234,-1.196,-1.583,-0.554,-1.893,-25.784,-15.865,-7.973,-8.407,1.997,0.772,-7.332,-5.713,0.031,2.212,-9.916,-1.343,-2.418,4.185,-0.593,0.889,-15.018,-15.32,-9.494,5.296,-7.578,1.358,-4.576,-1.352,-5.013,-0.295,-1.516,-9.29,-0.455,-3.004,2.854,-0.82,-2.205,-20.045,2.56,-12.047,-3.01,-1.851,-5.5,-2.188,-11.245,18.985,1.121,4.191,-6.138,-0.887,-4.496,-6.018,-4.425,-2.557,-2.995,1.909,-10.332,-3.664,-2.286,2.666,0.835,-3.597,-25.694,-1.991,-5.149,-1.65,-0.469,1.323,-11.836,-0.522,-15.228,-9.541,4.459,-1.416,1.051,-2.364,-0.089,-3.428,0.741,-2.464,-2.241,-1.789,-6.629,-8.963,-6.028,-4.443,0.696,3.296,2.931,-9.71,-7.219,1.113,-3.11,-4.949,-4.966,-15.277,-7.136,-17.843,-4.72,-4.439,-6.8,-4.63,-10.4,-12.745,-5.369,-1.656,0.244,11.451,4.104,-0.163,1.528,-2.556,1.292,-3.483,2.082,-1.111,-6.17,-2.398,-6.533,-6.121,0.986,-2.786,-1.565,-6.408,-21.941,-7.972,-8.841,-7.231,-12.303,-12.195,-3.738,-15.945,-5.729,-9.921,-6.84,-7.217,-7.561,-6.864,-8.869,-2.319,-1.573,8.193,9.1,2.86,-2.306,0.47,1.231,-0.104,1.025,-4.834
0.353054953,3.493193471,1.320057394,1.354606404,8.722534712,4.515536241,4.453290921,6.355641866,-0.736476528,-8.17886484,-2.507120187,2.013394158,4.137687286,0.871782928,4.388560014,1.719599545,9.287991603,6.635619481,0.774157499,3.420571982,0.948263763,-6.437076857,5.956089483,0.014515566,3.16828776,3.185008259,-2.744347737,-0.797614325,5.417480868,3.367888742,-2.857973788,-5.888384775,3.34342959,3.953513999,-5.107561127,-14.71340149,-1.938548505,0.432065634,3.622405122,-3.092145102,-2.443930851,3.708136214,-8.040982559,-6.850438683,-1.546836974,0.067164537,-0.461679461,-2.686751182,-4.266282507,0.056235022,-1.471644537,-1.223718056,-0.622791759,-2.249341776,-24.92899088,-17.11087227,-8.251110932,-9.662609937,1.860713251,-0.905671911,-6.598709265,-6.364670264,-0.114296293,2.213212047,-9.908581423,-1.094288241,-2.914049421,4.747732586,-0.844151303,1.201100271,-15.54065583,-15.92577298,-10.72150179,5.158375691,-9.641421073,1.397766667,-4.083465266,-1.596375944,-5.876761779,-0.417944429,-1.584999252,-9.1216782,-0.317079398,-3.494350619,2.961500923,-1.399180462,-2.398370938,-20.64147349,1.449584994,-14.54907243,-4.745544749,-1.20860441,-7.347692089,-1.998623866,-12.45467435,18.2597712,2.255650858,4.250633991,-6.808235593,-1.19712821,-5.344616371,-6.55609624,-5.240301067,-3.177567295,-3.079250399,1.487925766,-9.581520372,-3.513731416,-2.949146824,1.658043951,0.574338547,-3.949456168,-24.73084931,-2.147978727,-6.808480378,-2.201775073,-1.062507707,0.815436468,-12.55960764,-2.047618254,-14.86698787,-9.794441303,4.545471859,-1.640839999,1.556070361,-1.590050067,-0.311919056,-3.276082421,0.16264261,-2.726065603,-2.596985599,-2.17921299,-6.763227213,-8.787629467,-6.380296919,-5.052865698,0.391087021,2.635667105,2.679748422,-10.87366191,-8.397546082,0.209639627,-4.549754141,-5.634962322,-5.939757393,-15.06545353,-7.037724969,-18.64731908,-5.87648158,-4.626789183,-6.753884165,-5.245600851,-13.77262395,-12.69024156,-3.89910073,-2.600373193,0.699342846,11.87455162,4.52809657,0.718285923,1.156729862,-2.591314509,0.818697456,-4.003790249,1.622435127,-1.654261923,-6.847733473,-2.723002087,-6.997987569,-7.081344141,0.524357718,-3.113643549,-1.800557364,-6.888065133,-22.99583896,-8.569675837,-10.86532514,-8.894008064,-13.25447674,-12.34773279,-3.255295977,-15.4891284,-7.036055712,-12.37872483,-6.47380263,-8.742325118,-9.442086857,-7.8436922,-9.207487447,-3.184954995,-1.073758145,8.871227971,9.62618037,4.533037835,-2.702731316,0.270414435,0.599356867,-0.529671512,0.582987069,-5.515451552
0.884,3.65,1.053,1.169,8.502,4.672,3.665,6.028,-0.926,-8.295,-1.976,1.706,3.48,-0.01,3.603,1.582,9.386,7.126,1.075,3.367,0.782,-6.381,5.06,0.382,3.84,3.499,-2.298,-0.662,5.532,3.592,-3.086,-6.049,2.427,4.168,-4.923,-14.684,-2.365,0.495,3.887,-3.134,-2.439,3.815,-8.302,-8.205,-2.761,0.345,-1.499,-2.02,-4.065,-0.231,-1.757,-0.972,-0.652,-2.587,-23.45,-18.434,-8.304,-10.84,1.669,-2.388,-5.924,-6.997,-0.291,2.103,-9.57,-0.897,-3.374,5.123,-0.888,1.57,-15.64,-16.097,-11.805,4.775,-11.192,1.723,-3.794,-1.891,-6.77,-0.533,-1.642,-8.698,-0.27,-3.884,2.922,-1.713,-2.191,-20.44,0.057,-16.853,-6.385,-0.619,-8.701,-1.78,-13.261,16.981,3.358,4.204,-7.287,-1.572,-6.249,-7.016,-6.152,-3.812,-3.155,0.916,-8.556,-3.473,-3.533,0.436,0.215,-4.1,-22.978,-2.527,-8.244,-2.167,-1.732,-0.076,-13.095,-3.844,-14.437,-9.724,4.525,-2.155,1.736,-1.176,-0.495,-2.938,-0.456,-2.757999999,-2.749999999,-2.643000001,-6.938,-8.546,-6.818,-5.648,-0.003,1.886,2.318,-11.691,-9.606,-0.677,-6.121,-6.181,-6.663,-14.369,-7.007,-19.169,-6.637,-4.378,-6.505,-6.112,-17.031,-12.577,-2.318,-3.81,0.95,12.272,4.514,1.275,0.706,-2.53,0.299,-4.356999999,1.151,-2.272,-7.561,-3.071,-7.56,-8.057,-0.034,-3.425,-1.907,-7.128,-23.736,-9.024,-12.643,-10.532,-13.733,-12.13,-2.602,-14.779,-7.814,-14.483,-5.975,-9.767,-11.369,-8.717,-9.442,-3.965,-0.498,9.137,9.734,6.16,-3.049,0.06,-0.08,-0.956,0.141,-6.274
