method,seed,fold,global_mae,rain_sensitive_mae,rain_top_mae,h3_rain_sensitive_mae,h5_rain_sensitive_mae,official_samples,fallback_samples,fallback_low_risk_samples,fallback_high_risk_samples
pipeline_gefs15,0,cp_160,1.5243032,1.3524951,1.3832833,1.6071204,2.1275856,0,18,18,0
pipeline_gefs15_nosar,0,cp_160,1.5196487,1.3412626,1.378491,1.5926274,2.1089783,0,18,18,0
pipeline_distilled_nosar,0,cp_160,1.5570711,1.4187713,1.3353552,1.3693167,2.442988,0,18,18,0
pipeline_distilled_noweight,0,cp_160,1.6098975,1.528397,1.4976367,1.581083,2.4450486,0,18,18,0
pipeline_distilled,0,cp_160,1.5679271,1.4393901,1.3571489,1.3967798,2.4818785,0,18,18,0
pipeline_hybrid,0,cp_160,1.5243032,1.3524951,1.3832833,1.6071204,2.1275856,0,18,18,0
pipeline_gefs15,0,cp_180,1.14179,1.109424,1.0161502,1.1081923,1.9599428,8,10,10,0
pipeline_gefs15_nosar,0,cp_180,1.1676468,1.1171564,1.0918442,1.1538833,1.7979385,8,10,10,0
pipeline_distilled_nosar,0,cp_180,1.1219685,1.0184608,0.985507,0.94080156,1.6344779,8,10,10,0
pipeline_distilled_noweight,0,cp_180,1.102604,0.9888919,1.0321729,0.98764807,1.5215024,8,10,10,0
pipeline_distilled,0,cp_180,1.0858259,0.9805518,0.9404095,0.9013899,1.5767295,8,10,10,0
pipeline_hybrid,0,cp_180,1.119765,1.0865993,1.0232495,0.98146707,1.9188887,8,10,10,0
pipeline_gefs15,7,cp_160,1.4890649,1.2576315,1.2489104,1.3431224,1.9734081,0,18,18,0
pipeline_gefs15_nosar,7,cp_160,1.4843626,1.24528,1.2393641,1.3333238,1.970544,0,18,18,0
pipeline_distilled_nosar,7,cp_160,1.6713864,1.5494798,1.6657201,1.3644294,2.2852361,0,18,18,0
pipeline_distilled_noweight,7,cp_160,1.6308509,1.4218844,1.4166632,1.5322201,2.2130647,0,18,18,0
pipeline_distilled,7,cp_160,1.666577,1.5428833,1.6384751,1.3551736,2.2920446,0,18,18,0
pipeline_hybrid,7,cp_160,1.4890649,1.2576315,1.2489104,1.3431224,1.9734081,0,18,18,0
pipeline_gefs15,7,cp_180,1.0644724,0.9608084,0.9746478,0.974329,1.6109303,8,10,10,0
pipeline_gefs15_nosar,7,cp_180,1.1334435,1.0269325,1.031015,1.0330337,1.6998053,8,10,10,0
pipeline_distilled_nosar,7,cp_180,1.1130128,0.99516255,0.99868715,0.99581856,1.6104714,8,10,10,0
pipeline_distilled_noweight,7,cp_180,1.1617638,1.0922992,1.0668819,1.1522174,1.7266793,8,10,10,0
pipeline_distilled,7,cp_180,1.0871972,1.0035777,0.9848964,0.9860835,1.6584253,8,10,10,0
pipeline_hybrid,7,cp_180,1.0641583,0.9455093,0.9470769,0.96723354,1.5110629,8,10,10,0
pipeline_gefs15,23,cp_160,1.445101,1.1960406,1.2247477,1.1945978,1.8998582,0,18,18,0
pipeline_gefs15_nosar,23,cp_160,1.4269804,1.1713014,1.2270508,1.1755438,1.8515354,0,18,18,0
pipeline_distilled_nosar,23,cp_160,1.6777464,1.6160028,1.4611214,1.3759394,3.1028543,0,18,18,0
pipeline_distilled_noweight,23,cp_160,1.6862866,1.5817583,1.3693445,1.337128,2.9768417,0,18,18,0
pipeline_distilled,23,cp_160,1.6762275,1.6144147,1.4530392,1.3738108,3.106116,0,18,18,0
pipeline_hybrid,23,cp_160,1.445101,1.1960406,1.2247477,1.1945978,1.8998582,0,18,18,0
pipeline_gefs15,23,cp_180,1.206368,1.1108078,1.1538881,1.0742096,1.8088237,8,10,10,0
pipeline_gefs15_nosar,23,cp_180,1.1998833,1.098732,1.1043829,1.0650357,1.7450608,8,10,10,0
pipeline_distilled_nosar,23,cp_180,1.0580463,0.9224738,0.92095494,0.9365477,1.4582036,8,10,10,0
pipeline_distilled_noweight,23,cp_180,1.1938581,1.1776677,1.155054,1.1337495,1.8391575,8,10,10,0
pipeline_distilled,23,cp_180,1.0762187,0.9472683,0.9753406,0.9563248,1.4633479,8,10,10,0
pipeline_hybrid,23,cp_180,1.0587809,0.92392987,0.97006583,0.89778405,1.4816124,8,10,10,0
