method,seed,fold,segment,sample_count,global_mae,global_mae_ci,rain_sensitive_mae,rain_sensitive_mae_ci,h5_rain_sensitive_mae,h5_rain_sensitive_mae_ci
pipeline_gefs15,0,cp_160,fallback_low_prob,18,1.524303,"[1.411, 1.642]",1.3524948,"[1.233, 1.474]",2.1275856,"[1.931, 2.332]"
pipeline_gefs15,0,cp_160,event_active_3d,18,1.524303,"[1.420, 1.649]",1.3524948,"[1.232, 1.478]",2.1275856,"[1.940, 2.319]"
pipeline_gefs15_nosar,0,cp_160,fallback_low_prob,18,1.5196486,"[1.408, 1.635]",1.3412622,"[1.225, 1.464]",2.1089783,"[1.919, 2.305]"
pipeline_gefs15_nosar,0,cp_160,event_active_3d,18,1.5196486,"[1.406, 1.635]",1.3412622,"[1.222, 1.458]",2.1089783,"[1.929, 2.306]"
pipeline_distilled_nosar,0,cp_160,fallback_low_prob,18,1.557071,"[1.438, 1.691]",1.4187714,"[1.279, 1.581]",2.4429884,"[2.167, 2.747]"
pipeline_distilled_nosar,0,cp_160,event_active_3d,18,1.557071,"[1.432, 1.682]",1.4187714,"[1.261, 1.570]",2.4429884,"[2.183, 2.730]"
pipeline_distilled_noweight,0,cp_160,fallback_low_prob,18,1.6098974,"[1.477, 1.753]",1.5283968,"[1.367, 1.691]",2.445048,"[2.172, 2.747]"
pipeline_distilled_noweight,0,cp_160,event_active_3d,18,1.6098974,"[1.478, 1.738]",1.5283968,"[1.367, 1.679]",2.445048,"[2.154, 2.732]"
pipeline_distilled,0,cp_160,fallback_low_prob,18,1.567927,"[1.442, 1.704]",1.4393902,"[1.286, 1.593]",2.4818788,"[2.209, 2.789]"
pipeline_distilled,0,cp_160,event_active_3d,18,1.567927,"[1.440, 1.704]",1.4393902,"[1.294, 1.608]",2.4818788,"[2.224, 2.769]"
pipeline_hybrid,0,cp_160,fallback_low_prob,18,1.524303,"[1.417, 1.643]",1.3524948,"[1.236, 1.466]",2.1275856,"[1.926, 2.328]"
pipeline_hybrid,0,cp_160,event_active_3d,18,1.524303,"[1.420, 1.642]",1.3524948,"[1.228, 1.478]",2.1275856,"[1.946, 2.352]"
pipeline_gefs15,0,cp_180,official,8,1.1330986,"[1.013, 1.249]",1.1192553,"[1.018, 1.205]",1.9510694,"[1.822, 2.061]"
pipeline_gefs15,0,cp_180,fallback_low_prob,10,1.1487427,"[0.961, 1.331]",1.1015592,"[0.875, 1.331]",1.9670423,"[1.632, 2.317]"
pipeline_gefs15,0,cp_180,event_active_3d,18,1.1417898,"[1.032, 1.264]",1.1094241,"[0.968, 1.246]",1.9599432,"[1.774, 2.158]"
pipeline_gefs15_nosar,0,cp_180,official,8,1.2730666,"[1.130, 1.409]",1.2690067,"[1.151, 1.371]",2.1254957,"[1.988, 2.240]"
pipeline_gefs15_nosar,0,cp_180,fallback_low_prob,10,1.0833113,"[0.882, 1.278]",0.99567604,"[0.769, 1.231]",1.5358927,"[1.198, 1.908]"
pipeline_gefs15_nosar,0,cp_180,event_active_3d,18,1.1676469,"[1.031, 1.287]",1.1171565,"[0.972, 1.265]",1.7979385,"[1.568, 2.037]"
pipeline_distilled_nosar,0,cp_180,official,8,1.1721804,"[1.028, 1.302]",1.1773214,"[1.054, 1.277]",2.041007,"[1.882, 2.170]"
pipeline_distilled_nosar,0,cp_180,fallback_low_prob,10,1.0817987,"[0.908, 1.250]",0.8913722,"[0.721, 1.082]",1.3092545,"[1.012, 1.621]"
pipeline_distilled_nosar,0,cp_180,event_active_3d,18,1.1219683,"[1.010, 1.229]",1.0184608,"[0.891, 1.139]",1.634478,"[1.416, 1.854]"
pipeline_distilled_noweight,0,cp_180,official,8,1.0906713,"[0.949, 1.219]",1.0502961,"[0.919, 1.166]",1.7032793,"[1.545, 1.838]"
pipeline_distilled_noweight,0,cp_180,fallback_low_prob,10,1.1121503,"[0.946, 1.284]",0.93976814,"[0.754, 1.143]",1.3760803,"[1.094, 1.708]"
pipeline_distilled_noweight,0,cp_180,event_active_3d,18,1.102604,"[0.992, 1.214]",0.9888917,"[0.864, 1.106]",1.521502,"[1.332, 1.712]"
pipeline_distilled,0,cp_180,official,8,1.0835431,"[0.954, 1.211]",1.0678996,"[0.944, 1.170]",1.8586966,"[1.718, 1.984]"
pipeline_distilled,0,cp_180,fallback_low_prob,10,1.0876524,"[0.914, 1.264]",0.9106739,"[0.702, 1.115]",1.3511556,"[1.064, 1.681]"
pipeline_distilled,0,cp_180,event_active_3d,18,1.0858259,"[0.971, 1.200]",0.98055184,"[0.861, 1.100]",1.5767294,"[1.368, 1.785]"
pipeline_hybrid,0,cp_180,official,8,1.0835431,"[0.956, 1.199]",1.0678996,"[0.949, 1.167]",1.8586966,"[1.711, 1.989]"
pipeline_hybrid,0,cp_180,fallback_low_prob,10,1.1487427,"[0.953, 1.353]",1.1015592,"[0.866, 1.341]",1.9670423,"[1.637, 2.301]"
pipeline_hybrid,0,cp_180,event_active_3d,18,1.1197648,"[0.998, 1.242]",1.0865993,"[0.947, 1.230]",1.9188887,"[1.723, 2.128]"
pipeline_gefs15,7,cp_160,fallback_low_prob,18,1.489065,"[1.385, 1.591]",1.2576318,"[1.158, 1.371]",1.973408,"[1.814, 2.140]"
pipeline_gefs15,7,cp_160,event_active_3d,18,1.489065,"[1.392, 1.599]",1.2576318,"[1.160, 1.376]",1.973408,"[1.810, 2.147]"
pipeline_gefs15_nosar,7,cp_160,fallback_low_prob,18,1.4843625,"[1.382, 1.586]",1.2452803,"[1.148, 1.353]",1.9705437,"[1.807, 2.131]"
pipeline_gefs15_nosar,7,cp_160,event_active_3d,18,1.4843625,"[1.384, 1.583]",1.2452803,"[1.143, 1.342]",1.9705437,"[1.810, 2.132]"
pipeline_distilled_nosar,7,cp_160,fallback_low_prob,18,1.6713865,"[1.550, 1.792]",1.5494794,"[1.397, 1.703]",2.2852368,"[2.035, 2.533]"
pipeline_distilled_nosar,7,cp_160,event_active_3d,18,1.6713865,"[1.549, 1.791]",1.5494794,"[1.414, 1.690]",2.2852368,"[2.014, 2.560]"
pipeline_distilled_noweight,7,cp_160,fallback_low_prob,18,1.630851,"[1.526, 1.736]",1.4218851,"[1.296, 1.550]",2.213065,"[1.985, 2.442]"
pipeline_distilled_noweight,7,cp_160,event_active_3d,18,1.630851,"[1.520, 1.739]",1.4218851,"[1.297, 1.542]",2.213065,"[1.995, 2.437]"
pipeline_distilled,7,cp_160,fallback_low_prob,18,1.6665767,"[1.549, 1.788]",1.5428832,"[1.403, 1.697]",2.2920446,"[2.028, 2.579]"
pipeline_distilled,7,cp_160,event_active_3d,18,1.6665767,"[1.542, 1.796]",1.5428832,"[1.410, 1.697]",2.2920446,"[2.036, 2.550]"
pipeline_hybrid,7,cp_160,fallback_low_prob,18,1.489065,"[1.378, 1.598]",1.2576318,"[1.148, 1.375]",1.973408,"[1.807, 2.145]"
pipeline_hybrid,7,cp_160,event_active_3d,18,1.489065,"[1.391, 1.595]",1.2576318,"[1.158, 1.363]",1.973408,"[1.799, 2.147]"
pipeline_gefs15,7,cp_180,official,8,1.0613325,"[0.937, 1.182]",1.0449252,"[0.930, 1.137]",1.9511384,"[1.808, 2.080]"
pipeline_gefs15,7,cp_180,fallback_low_prob,10,1.0669844,"[0.884, 1.248]",0.89351493,"[0.709, 1.094]",1.3387635,"[1.069, 1.648]"
pipeline_gefs15,7,cp_180,event_active_3d,18,1.0644726,"[0.951, 1.180]",0.96080834,"[0.844, 1.075]",1.6109301,"[1.393, 1.813]"
pipeline_gefs15_nosar,7,cp_180,official,8,1.1697767,"[1.034, 1.306]",1.1806266,"[1.053, 1.293]",2.1403043,"[1.968, 2.288]"
pipeline_gefs15_nosar,7,cp_180,fallback_low_prob,10,1.1043774,"[0.934, 1.290]",0.9039769,"[0.731, 1.089]",1.3474063,"[1.109, 1.626]"
pipeline_gefs15_nosar,7,cp_180,event_active_3d,18,1.1334437,"[1.017, 1.254]",1.0269324,"[0.892, 1.155]",1.6998056,"[1.466, 1.924]"
pipeline_distilled_nosar,7,cp_180,official,8,1.1125188,"[0.973, 1.239]",1.0825875,"[0.959, 1.203]",1.8737653,"[1.695, 2.019]"
pipeline_distilled_nosar,7,cp_180,fallback_low_prob,10,1.1134077,"[0.948, 1.284]",0.9252224,"[0.743, 1.119]",1.3998358,"[1.114, 1.719]"
pipeline_distilled_nosar,7,cp_180,event_active_3d,18,1.1130126,"[0.997, 1.222]",0.99516255,"[0.871, 1.116]",1.6104712,"[1.420, 1.825]"
pipeline_distilled_noweight,7,cp_180,official,8,1.2526717,"[1.094, 1.399]",1.2442857,"[1.116, 1.361]",2.084212,"[1.916, 2.226]"
pipeline_distilled_noweight,7,cp_180,fallback_low_prob,10,1.0890377,"[0.891, 1.288]",0.97071075,"[0.736, 1.197]",1.4406531,"[1.114, 1.781]"
pipeline_distilled_noweight,7,cp_180,event_active_3d,18,1.1617638,"[1.030, 1.288]",1.0922996,"[0.942, 1.241]",1.7266793,"[1.499, 1.945]"
pipeline_distilled,7,cp_180,official,8,1.0606257,"[0.938, 1.181]",1.0105017,"[0.886, 1.115]",1.726437,"[1.576, 1.871]"
pipeline_distilled,7,cp_180,fallback_low_prob,10,1.1084543,"[0.912, 1.319]",0.99803865,"[0.788, 1.231]",1.6040154,"[1.249, 2.008]"
pipeline_distilled,7,cp_180,event_active_3d,18,1.0871972,"[0.973, 1.205]",1.0035778,"[0.873, 1.151]",1.658425,"[1.451, 1.875]"
pipeline_hybrid,7,cp_180,official,8,1.0606257,"[0.939, 1.174]",1.0105017,"[0.890, 1.124]",1.726437,"[1.575, 1.865]"
pipeline_hybrid,7,cp_180,fallback_low_prob,10,1.0669844,"[0.889, 1.245]",0.89351493,"[0.717, 1.086]",1.3387635,"[1.051, 1.633]"
pipeline_hybrid,7,cp_180,event_active_3d,18,1.0641583,"[0.960, 1.171]",0.9455091,"[0.838, 1.064]",1.5110629,"[1.321, 1.690]"
pipeline_gefs15,23,cp_160,fallback_low_prob,18,1.4451013,"[1.363, 1.537]",1.1960407,"[1.117, 1.269]",1.8998582,"[1.744, 2.065]"
pipeline_gefs15,23,cp_160,event_active_3d,18,1.4451013,"[1.354, 1.535]",1.1960407,"[1.119, 1.269]",1.8998582,"[1.742, 2.063]"
pipeline_gefs15_nosar,23,cp_160,fallback_low_prob,18,1.4269805,"[1.340, 1.516]",1.1713011,"[1.093, 1.244]",1.8515356,"[1.716, 1.986]"
pipeline_gefs15_nosar,23,cp_160,event_active_3d,18,1.4269805,"[1.335, 1.512]",1.1713011,"[1.094, 1.243]",1.8515356,"[1.715, 1.986]"
pipeline_distilled_nosar,23,cp_160,fallback_low_prob,18,1.6777465,"[1.531, 1.828]",1.616003,"[1.430, 1.790]",3.1028543,"[2.713, 3.525]"
pipeline_distilled_nosar,23,cp_160,event_active_3d,18,1.6777465,"[1.533, 1.830]",1.616003,"[1.422, 1.816]",3.1028543,"[2.698, 3.500]"
pipeline_distilled_noweight,23,cp_160,fallback_low_prob,18,1.6862863,"[1.552, 1.833]",1.5817587,"[1.409, 1.770]",2.9768417,"[2.582, 3.386]"
pipeline_distilled_noweight,23,cp_160,event_active_3d,18,1.6862863,"[1.547, 1.837]",1.5817587,"[1.397, 1.771]",2.9768417,"[2.596, 3.349]"
pipeline_distilled,23,cp_160,fallback_low_prob,18,1.6762276,"[1.533, 1.833]",1.614415,"[1.432, 1.802]",3.106115,"[2.704, 3.535]"
pipeline_distilled,23,cp_160,event_active_3d,18,1.6762276,"[1.529, 1.830]",1.614415,"[1.425, 1.802]",3.106115,"[2.710, 3.527]"
pipeline_hybrid,23,cp_160,fallback_low_prob,18,1.4451013,"[1.365, 1.533]",1.1960407,"[1.126, 1.274]",1.8998582,"[1.744, 2.058]"
pipeline_hybrid,23,cp_160,event_active_3d,18,1.4451013,"[1.358, 1.528]",1.1960407,"[1.117, 1.272]",1.8998582,"[1.747, 2.051]"
pipeline_gefs15,23,cp_180,official,8,1.3259816,"[1.152, 1.492]",1.3236105,"[1.189, 1.444]",2.1828785,"[1.996, 2.340]"
pipeline_gefs15,23,cp_180,fallback_low_prob,10,1.1106768,"[0.935, 1.281]",0.9405662,"[0.786, 1.110]",1.5095804,"[1.222, 1.814]"
pipeline_gefs15,23,cp_180,event_active_3d,18,1.2063677,"[1.087, 1.332]",1.110808,"[0.978, 1.238]",1.808824,"[1.596, 2.027]"
pipeline_gefs15_nosar,23,cp_180,official,8,1.3783259,"[1.219, 1.538]",1.386845,"[1.251, 1.508]",2.2510765,"[2.074, 2.400]"
pipeline_gefs15_nosar,23,cp_180,fallback_low_prob,10,1.0571291,"[0.891, 1.234]",0.8682412,"[0.711, 1.025]",1.3402474,"[1.083, 1.623]"
pipeline_gefs15_nosar,23,cp_180,event_active_3d,18,1.1998833,"[1.064, 1.339]",1.0987319,"[0.946, 1.248]",1.7450603,"[1.491, 1.979]"
pipeline_distilled_nosar,23,cp_180,official,8,0.99142724,"[0.896, 1.086]",0.9192935,"[0.825, 1.010]",1.5797149,"[1.448, 1.697]"
pipeline_distilled_nosar,23,cp_180,fallback_low_prob,10,1.1113416,"[0.950, 1.272]",0.92501813,"[0.737, 1.132]",1.3609941,"[1.023, 1.709]"
pipeline_distilled_nosar,23,cp_180,event_active_3d,18,1.0580463,"[0.953, 1.158]",0.9224738,"[0.810, 1.046]",1.4582036,"[1.254, 1.667]"
pipeline_distilled_noweight,23,cp_180,official,8,1.280278,"[1.138, 1.416]",1.3113315,"[1.206, 1.405]",2.1156964,"[1.973, 2.222]"
pipeline_distilled_noweight,23,cp_180,fallback_low_prob,10,1.1247221,"[0.923, 1.321]",1.0707371,"[0.845, 1.304]",1.6179266,"[1.271, 2.007]"
pipeline_distilled_noweight,23,cp_180,event_active_3d,18,1.193858,"[1.059, 1.316]",1.1776681,"[1.031, 1.319]",1.8391576,"[1.626, 2.063]"
pipeline_distilled,23,cp_180,official,8,0.9939109,"[0.917, 1.066]",0.9031348,"[0.823, 0.981]",1.4466532,"[1.317, 1.555]"
pipeline_distilled,23,cp_180,fallback_low_prob,10,1.1420648,"[0.964, 1.317]",0.9825751,"[0.775, 1.196]",1.4767034,"[1.131, 1.879]"
pipeline_distilled,23,cp_180,event_active_3d,18,1.0762186,"[0.977, 1.199]",0.94726837,"[0.830, 1.067]",1.4633479,"[1.258, 1.672]"
pipeline_hybrid,23,cp_180,official,8,0.9939109,"[0.914, 1.068]",0.9031348,"[0.821, 0.977]",1.4466532,"[1.318, 1.555]"
pipeline_hybrid,23,cp_180,fallback_low_prob,10,1.1106768,"[0.936, 1.279]",0.9405662,"[0.786, 1.116]",1.5095804,"[1.238, 1.813]"
pipeline_hybrid,23,cp_180,event_active_3d,18,1.0587809,"[0.955, 1.167]",0.92393005,"[0.830, 1.022]",1.4816127,"[1.312, 1.649]"
